7;0.715432
7.13;0.706783
7.26;0.69735
7.39;0.687056
7.52;0.675805
7.65;0.663485
7.78;0.649954
7.91;0.635037
8.04;0.61851
8.17;0.600081
8.3;0.579364
8.43;0.555829
8.56;0.528721
8.69;0.496914
8.82;0.45862
8.95;0.410738
9.08;0.347144
9.21;0.252754
9.34;0.0669845
9.47;-0.0586866
9.6;0.212101
9.73;0.322867
9.86;0.393473
9.99;0.445263
10.12;0.486057
10.25;0.519606
10.38;0.548002
10.51;0.572531
10.64;0.594041
10.77;0.613119
10.9;0.630191
11.03;0.645571
11.16;0.659503
11.29;0.672175
11.42;0.683738
11.55;0.694313
11.68;0.704
11.81;0.712879
11.94;0.721022
12.07;0.728484
12.2;0.735315
12.33;0.741557
12.46;0.747245
12.59;0.752411
12.72;0.757079
12.85;0.761274
12.98;0.765015
13.11;0.768318
13.24;0.771198
13.37;0.773666
13.5;0.775732
13.63;0.777406
13.76;0.778693
13.89;0.779598
14.02;0.780125
14.15;0.780276
14.28;0.780051
14.41;0.779449
14.54;0.778469
14.67;0.777106
14.8;0.775356
14.93;0.77321
15.06;0.770662
15.19;0.7677
15.32;0.764312
15.45;0.760483
15.58;0.756196
15.71;0.751431
15.84;0.746164
15.97;0.740369
16.1;0.734014
16.23;0.727062
16.36;0.71947
16.49;0.711187
16.62;0.702153
16.75;0.692299
16.88;0.681537
17.01;0.669766
17.14;0.656858
17.27;0.642656
17.4;0.626963
17.53;0.609523
17.66;0.590002
17.79;0.56795
17.92;0.542735
18.05;0.513442
18.18;0.478664
18.31;0.436074
18.44;0.381397
18.57;0.305355
18.7;0.180455
18.83;-0.226342
18.96;0.119861
19.09;0.275287
19.22;0.361436
19.35;0.421175
19.48;0.466815
19.61;0.503638
19.74;0.534403
19.87;0.560731
